category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0098742	0.0107237493141184	0.996547041248237	9	74	cell-cell adhesion via plasma-membrane adhesion molecules	BP	0.704192871627107	1
GO:0007448	0.0109684708705234	0.997278316134367	7	27	anterior/posterior pattern specification, imaginal disc	BP	0.716411247126058	1
GO:0010001	0.0111579564659628	0.996575455884225	9	39	glial cell differentiation	BP	0.722295822112338	1
GO:0009605	0.0112558798161683	0.99149889148573	124	1043	response to external stimulus	BP	0.722295822112338	1
GO:0048531	0.0112717605061353	0.998383834419755	4	18	beta-1,3-galactosyltransferase activity	MF	0.722295822112338	1
GO:0044380	0.0115003317803681	0.998023466398468	5	15	protein localization to cytoskeleton	BP	0.722295822112338	1
GO:0008106	0.0115151274641081	0.997931141271715	5	18	alcohol dehydrogenase (NADP+) activity	MF	0.722295822112338	1
GO:0034220	0.0115365390143503	0.993081544234706	36	352	ion transmembrane transport	BP	0.722295822112338	1
GO:0005201	0.0116065706554009	0.997724447219941	5	33	extracellular matrix structural constituent	MF	0.722295822112338	1
GO:0009407	0.0116499326147151	0.999545337412334	2	6	toxin catabolic process	BP	0.722295822112338	1
GO:0042178	0.0116499326147151	0.999545337412334	2	6	xenobiotic catabolic process	BP	0.722295822112338	1
GO:0046701	0.0116499326147151	0.999545337412334	2	6	insecticide catabolic process	BP	0.722295822112338	1
GO:0042060	0.0118361289289781	0.994480744457757	19	85	wound healing	BP	0.73013373100272	1
GO:0006959	0.011916529280855	0.994001115311756	22	126	humoral immune response	BP	0.731010274683171	1
GO:0071678	0.0120088293689041	0.999729883607793	2	3	olfactory bulb axon guidance	BP	0.731010274683171	1
GO:0098772	0.0120298890790337	0.991657849451722	69	618	molecular function regulator activity	MF	0.731010274683171	1
GO:0016722	0.0123580858360294	0.998795369693231	3	13	oxidoreductase activity, acting on metal ions	MF	0.747235942580512	1
GO:0015399	0.0126496189255127	0.993799874382908	20	123	primary active transmembrane transporter activity	MF	0.752986562375696	1
GO:0004566	0.0126997897371372	1	2	2	beta-glucuronidase activity	MF	0.752986562375696	1
GO:0019389	0.0126997897371372	1	2	2	glucuronoside metabolic process	BP	0.752986562375696	1
GO:0019391	0.0126997897371372	1	2	2	glucuronoside catabolic process	BP	0.752986562375696	1
GO:0034702	0.0128249061535736	0.996409199908339	7	72	ion channel complex	CC	0.75673141912922	1
GO:1901657	0.012977627270764	0.996157409445672	8	42	glycosyl compound metabolic process	BP	0.760893278100651	1
GO:0008037	0.0130200339874764	0.993405371173716	22	121	cell recognition	BP	0.760893278100651	1
GO:0008514	0.0131700536888387	0.995070219833123	11	81	organic anion transmembrane transporter activity	MF	0.765213797483	1
GO:0016671	0.0132192657007461	0.998848403845191	3	8	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	MF	0.765213797483	1
GO:0014015	0.0133050386968496	0.998838090994529	3	8	positive regulation of gliogenesis	BP	0.766545955864721	1
GO:0030033	0.0134767883293274	1	1	1	microvillus assembly	BP	0.76819625148188	1
GO:0030034	0.0134767883293274	1	1	1	microvillar actin bundle assembly	BP	0.76819625148188	1
GO:0009404	0.0136080478339753	0.999392166749701	2	7	toxin metabolic process	BP	0.76819625148188	1
GO:0017143	0.0136080478339753	0.999392166749701	2	7	insecticide metabolic process	BP	0.76819625148188	1
GO:0006544	0.0136481567522161	0.998796576465985	3	8	glycine metabolic process	BP	0.76819625148188	1
GO:0006030	0.0140320435609419	0.997272157383663	5	21	chitin metabolic process	BP	0.779719296143843	1
GO:0003824	0.0140513005005344	0.988346140788728	333	3688	catalytic activity	MF	0.779719296143843	1
GO:2001257	0.0141308011756942	0.997137801284999	5	28	regulation of cation channel activity	BP	0.779719296143843	1
GO:0051444	0.0141720717000109	1	2	2	negative regulation of ubiquitin-protein transferase activity	BP	0.779719296143843	1
GO:1904667	0.0141720717000109	1	2	2	negative regulation of ubiquitin protein ligase activity	BP	0.779719296143843	1
GO:0042756	0.0144601560143708	0.999640663937897	2	3	drinking behavior	BP	0.792001549594282	1
GO:0000828	0.014577803775294	0.999335802359681	3	4	inositol hexakisphosphate kinase activity	MF	0.794880782640362	1
GO:0031430	0.0150437193182667	0.996865118080349	6	15	M band	CC	0.812782207389235	1
GO:0046942	0.0151145602541214	0.9942310597365	11	80	carboxylic acid transport	BP	0.812782207389235	1
GO:0008083	0.0151209388470716	0.997003874721406	5	21	growth factor activity	MF	0.812782207389235	1
GO:0055086	0.0151722894452878	0.990713352577937	37	287	nucleobase-containing small molecule metabolic process	BP	0.812782207389235	1
GO:0009897	0.0154679138479065	0.996110667982939	6	44	external side of plasma membrane	CC	0.820841677488894	1
GO:0006909	0.0156484749761851	0.993487162580543	14	58	phagocytosis	BP	0.820841677488894	1
GO:1904776	0.0156984348505147	1	2	2	regulation of protein localization to cell cortex	BP	0.820841677488894	1
GO:0004793	0.0157156212588137	1	1	1	threonine aldolase activity	MF	0.820841677488894	1
GO:0008732	0.0157156212588137	1	1	1	L-allo-threonine aldolase activity	MF	0.820841677488894	1
GO:0098542	0.0157259663118062	0.989265169259941	60	450	defense response to other organism	BP	0.820841677488894	1
GO:0071526	0.0160860926880957	0.998039252484226	4	8	semaphorin-plexin signaling pathway	BP	0.832632155455994	1
GO:0008288	0.0160881929496983	1	1	1	boss receptor activity	MF	0.832632155455994	1
GO:0050919	0.016298700766528	0.996216239325338	6	21	negative chemotaxis	BP	0.839967642035329	1
GO:0019320	0.0163787962657441	0.997747968352233	4	10	hexose catabolic process	BP	0.840548813402516	1
GO:0008284	0.0165871342758717	0.992243400632714	17	89	positive regulation of cell population proliferation	BP	0.846507416173838	1
GO:0006275	0.016633517265574	0.994536147965535	9	39	regulation of DNA replication	BP	0.846507416173838	1
GO:1901605	0.0167825696560815	0.992656882062588	14	99	alpha-amino acid metabolic process	BP	0.848324852464039	1
GO:0070851	0.0168290412545815	0.99550647516779	7	25	growth factor receptor binding	MF	0.848324852464039	1
GO:0006952	0.0169624277470085	0.988328817776369	61	469	defense response	BP	0.848324852464039	1
GO:0007183	0.0171544917151654	1	2	2	SMAD protein complex assembly	BP	0.848324852464039	1
GO:0010990	0.0171544917151654	1	2	2	regulation of SMAD protein complex assembly	BP	0.848324852464039	1
GO:0004033	0.017359807367175	0.99649806224577	5	19	aldo-keto reductase (NADP) activity	MF	0.848324852464039	1
GO:0044275	0.0174003488218444	0.994761595560824	8	31	cellular carbohydrate catabolic process	BP	0.848324852464039	1
GO:0042381	0.017442046490194	0.997819128863355	4	8	hemolymph coagulation	BP	0.848324852464039	1
GO:0006576	0.0174801571562147	0.995643049634157	6	30	cellular biogenic amine metabolic process	BP	0.848324852464039	1
GO:0035372	0.017568668750343	0.998294244342494	3	8	protein localization to microtubule	BP	0.848324852464039	1
GO:0046425	0.0176518512104817	0.99440116778938	9	29	regulation of receptor signaling pathway via JAK-STAT	BP	0.848324852464039	1
GO:1904892	0.0176518512104817	0.99440116778938	9	29	regulation of receptor signaling pathway via STAT	BP	0.848324852464039	1
GO:0009607	0.0177110559504118	0.987709534139646	63	488	response to biotic stimulus	BP	0.848324852464039	1
GO:0043207	0.0177110559504118	0.987709534139646	63	488	response to external biotic stimulus	BP	0.848324852464039	1
GO:0051707	0.0177110559504118	0.987709534139646	63	488	response to other organism	BP	0.848324852464039	1
GO:0005042	0.0180337532332382	1	2	2	netrin receptor activity	MF	0.860407273401451	1
GO:0033612	0.0193484645331538	0.998165224352179	3	7	receptor serine/threonine kinase binding	MF	0.91048258175773	1
GO:0070696	0.0193484645331538	0.998165224352179	3	7	transmembrane receptor protein serine/threonine kinase binding	MF	0.91048258175773	1
